Id,dynamic_without_external,day_per_day_without_external,dynamic_with_weather,day_per_day_with_weather,dynamic_with_promotion,day_per_day_with_promotion
2021,17.47210587,17.14847391,16.62998343,16.2507518,11.19377368,10.88591803
2064,27.48636092,26.73465979,26.65952311,26.43815733,15.95868615,15.80270459
2077,40.98929207,40.91938836,40.71530288,40.42340953,22.6042037,22.2810377
2125,23.16989153,22.27745559,,,7.314441586,7.291975001
2159,24.49698115,24.28240431,,,10.16584722,10.03841642
2169,26.83772443,26.58826881,,,13.33878202,13.03496491
2200,22.7222898,22.22936623,,,9.772447246,9.536638357
2234,33.75465587,32.99593334,,,17.60837104,17.59717531
2298,23.32760955,22.37707848,,,12.17540024,12.09442471
2317,15.38613253,15.23915724,,,5.006707446,4.812661007
2351,12.39873188,11.95593253,11.14892054,10.74980571,9.127480569,8.859085877
2378,20.44656947,19.82604739,19.55720153,19.24960114,13.7529733,13.3622658
2417,9.908670568,9.121526488,,,6.9704222,6.630392448
2431,32.39472,31.83743,,,19.33445,18.89332
2432,76.9876,73.7636,,,,
2433,91.22393444,91.62054885,,,,
2434,70.29682859,69.44088267,,,,
2435,43.10863571,43.10544158,,,,
2439,31.08776215,31.06273146,,,,
2440,42.60802795,42.5419587,,,,
2441,20.79316331,20.00014192,,,12.92097375,12.71991603
2442,75.58149597,75.41657011,,,55.26621425,54.9953991
2443,32.62577873,31.69474554,29.38472,28.9038,,
2444,12.04337152,11.73421964,,,,
2445,23.97167433,23.61445705,,,,
2446,10.36517439,10.19696749,,,,
2447,91.0709326,91.0352752,,,91.1771981,91.1109565
2448,91.3214793,91.0302289,,,91.40736804,91.28919407
2449,91.8925975,91.1249712,,,91.6036495,91.4298559
2450,13.96726889,13.26087399,,,6.903303012,6.665227448
2451,28.18811295,28.11443435,,,12.61416723,12.53362785
2452,46.02843686,45.13833219,,,26.64644047,26.55975934
2453,63.70286043,62.99891559,,,43.12313358,42.7539675
2454,78.34492704,77.69803526,,,60.86936738,60.86351028
2455,64.88413354,64.37582516,,,43.72852592,43.6838006
2456,91.031863,91.3003651,,,91.1383579,91.9053218
2457,21.52012581,20.67878675,,,11.83144133,11.82837684
2458,39.57828738,39.57182565,,,,
2471,39.9393122,39.47778659,,,,
2472,32.74924184,31.76479563,,,15.44709687,15.37242699
2474,89.43543686,89.03228528,,,87.19270813,86.3557422
2475,91.6895784,91.5111258,,,,
2476,27.63709153,27.36278298,,,13.43726158,13.33498306
2477,49.87632283,49.23494134,,,29.76155162,29.64076261
2478,20.43491921,19.81170297,,,13.54777629,13.44609488
2479,88.56912725,88.51094028,,,71.06557099,70.73205162
2480,77.21057715,76.4398875,,,57.52210242,57.28299227
2481,32.726474,31.99839313,,,19.23817756,18.95224485
2482,73.81188478,72.94906188,,,56.9212405,56.53154153
2483,52.97853549,52.77443614,,,34.66169055,34.64639169
2484,44.35810867,44.31129092,,,27.34272188,27.09062467
2485,87.00688635,86.35529254,,,70.48352963,70.08396202
2486,41.79904333,41.75628799,,,25.81815468,25.78588374
2487,34.67467044,34.39083381,,,20.63159844,20.30159106
2488,78.13694275,77.24786614,,,57.92704786,57.89400681
2489,52.03699677,51.62413015,,,31.34871754,30.96202974
2490,41.36907872,40.70592283,,,24.00512437,23.8652633
2491,44.83906979,44.77837224,,,26.44717316,26.30991768
2492,47.01939665,46.20904137,,,29.24237375,29.01059885
2493,18.05772434,17.16472497,,,6.728138768,6.618241952
2494,82.89712245,82.83445718,,,64.94901922,64.65941256
2495,29.56908626,28.9358858,,,14.53812902,14.32080654
2496,91.3984521,91.899163,,,91.23731298,91.00691801
2497,66.31701188,65.81271436,,,46.95536976,46.75113363
2498,35.42525635,35.13219316,,,18.04148121,17.86626303
2499,91.0573427,91.6463413,,,91.314632,91.2698113
2500,85.78336047,84.87021385,,,68.03802718,67.83303681
2501,43.49583,42.39484,,,30.0384,28.97443
2502,81.68633604,81.30165513,,,,
2503,36.54999327,35.6246541,,,,
2504,45.39484,45.08384,,,,
2506,91.5804081,91.6543742,,,91.53145127,91.19848665
2507,32.86306942,31.95519909,,,16.95883098,16.83042251
2508,48.29184319,47.90420535,,,31.5408129,31.33996146
2509,62.00748337,61.11960943,,,,
2514,33.57335639,33.3368832,,,,
2515,27.3757485,26.56003696,,,,
2516,47.76540843,47.1087241,,,,
2517,32.1616569,31.5463051,,,,
2518,64.90384,64.59574,,,,
2519,30.16248592,29.48724001,,,,
2520,25.96029626,25.60314288,,,,
2521,34.50584,34.09575,,,17.44833,16.4332
2525,30.61155386,30.42614306,,,,
2526,53.08797278,53.02715549,,,,
2527,47.88942564,47.84560374,,,,
2528,73.19670269,73.17519377,,,,
2529,26.95542607,26.57056311,,,,
2530,15.71572569,15.61820393,,,,
